#separator:comma,,,,,,,,,,,,,,
#html:true,,,,,,,,,,,,,,
#deck column:1,,,,,,,,,,,,,,
#tags column:15,,,,,,,,,,,,,,
#columns:Deck,Word,EntryUUID,CardUUID,PartOfSpeech,Grammar,PronunciationIPA,WordAudioURL,DefinitionHTML,Example1HTML,Example2HTML,Example3HTML,Example4HTML,Example5HTML,Tags
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,ee4617dd-6c9c-5560-8e0e-96d2b60382e4,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to indicate a person or thing that has already been mentioned or seen or is clearly understood from the situation,"He bought a house, but this is not <em>the</em> house he bought.",This is <em>the</em> restaurant I was telling you about.,I'll take <em>the</em> red one.,Put <em>the</em> cat outside.,<em>The</em> teacher gave a quiz.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,aef7f759-0d85-56bd-98bf-09e02b69a402,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to refer to things or people that are common in daily life,We talked on <em>the</em> telephone for an hour.,Turn on <em>the</em> television.,She opened <em>the</em> windows.,You need to go to <em>the</em> doctor.,He said he put the letter in <em>the</em> mail yesterday.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,2ac1ab65-ff52-5f80-a2ec-df2dff72de33,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to refer to things that occur in nature,<em>The</em> sky is getting dark.,A strong wind was blowing from <em>the</em> east.,The planets revolve around <em>the</em> sun.,Our daughter has <em>the</em> flu.,They talked for a while about <em>the</em> weather.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,2c1b3fa7-f6ef-5ce2-a7fb-be8fc9a162b7,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to refer to a particular unit or period of time,She is out of the office at <em>the</em> moment.,<em>The</em> time has come for us to make peace.,It is the best movie of <em>the</em> year.,We are usually not home during <em>the</em> day.,during <em>the</em> winter,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,6444caf1-4a88-5143-9798-b2e8e7079d3a,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to indicate the day on which something happened or will happen,"He left five days later, on <em>the</em> Sunday. [=(<em>US</em>) on Sunday]",,,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,1b5c21bf-66a7-525d-8776-0dfd693cada5,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,"used before the name of a specific person, place, event, work of art, etc.",<em>the</em> President of <em>the</em> United States of America,<em>the</em> White House,<em>the</em> New York Yankees,<em>the</em> Department of Transportation,<em>the</em> Mississippi River,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,6bbf7874-226c-55f8-b726-60a044c4f209,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used to indicate which person or thing you are referring to or discussing,She gave <em>the</em> correct answer.,He is competing against <em>the</em> best of <em>the</em> best.,<em>the</em> fastest runner,I took <em>the</em> last piece of pizza.,I never have <em>the</em> time to read.,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,6dd8403b-30b6-5b9f-94ec-641c9db538c9,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used in titles after a person's name,Alexander <em>the</em> Great,Elizabeth <em>the</em> Second,Jack <em>the</em> Ripper,William <em>the</em> Conqueror,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,37ed2694-5708-5184-bedd-b9697374daab,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used before an ordinal number,This is <em>the</em> first time he has been late.,Payment is due on <em>the</em> fifth of each month.,Friday <em>the</em> 13th,<em>the</em> Fourth of July,,COCA-English::2026-04-04 COCA-English::01-00001-01000
COCA-English::01-00001-01000,the,138a475d-1858-4ad5-9d7f-4687e2566638,fc4ebd95-2d2e-5a1a-ab61-c8d6c12c1353,definite article,,ðə,https://media.merriam-webster.com/audio/prons/en/us/mp3/t/the00001.mp3,used before a singular noun to refer in a general way to people or things of a particular kind,This book gives some useful tips for <em>the</em> beginner. [=for beginners],<em>The</em> cobra is a poisonous snake. [=cobras are poisonous snakes],,,,COCA-English::2026-04-04 COCA-English::01-00001-01000
